text,label,notes
"The longest-running unresolved thread in the series is not Rum's identity or the Boss's name — it is the identity of Tsutomu Akai. He is the only named missing character whose absence is treated as an active mystery rather than settled backstory. This suggests he will be plot-relevant at resolution time, not merely revealed as dead.",analysis,
"Kogoro solving the Luxury Liner case without Conan's help is narratively significant because it demonstrates the show knows what a competent Kogoro looks like. The contrast with his usual performance is the point: the show is not incompetent in its portrayal, it is deliberately inconsistent as a character choice.",analysis,
"The series' treatment of memory and identity — Conan is Shinichi but also genuinely becoming Conan over time — is its most philosophically interesting thread. After 1000 chapters as a child, Shinichi's adult self is increasingly theoretical. The series hasn't fully addressed what 'returning to Shinichi' would cost the parts of him that are now Conan.",analysis,
"Jodie Starling's initial presentation as a comedic English teacher is a deliberate red herring. Her mannerisms — the fragmented English, the apparent clumsiness — mirror the kind of surface-level incompetence that conceals serious capability. When her FBI role is revealed, it recontextualizes every prior scene with her in it. That recontextualization is the structural reward Gosho is building toward.",analysis,
The Conan series uses geography as character. Tokyo cases feel procedural and institutional. Osaka cases feel warmer and more intuitive — Heiji's domain. The Kyoto arc cases feel ceremonial and traditional. Gosho maps emotional register onto location in a way that means setting is never neutral.,analysis,
"The recurring detail that Conan's watch-gadget requires aiming precisely at the target — and sometimes hits the wrong person — is both a running joke and a subtle constraint. It means Conan cannot use it in crowded scenes without risk, which limits when the show can resolve a physical confrontation using that device. It is a self-imposed narrative constraint that creates tension.",analysis,
"Amuro ordering coffee at Poirot while gathering intelligence is the clearest example of how the series uses mundane settings to carry operational weight. He is not having coffee. Every interaction in that cafe is information collection or relationship management. Ordinary scenes become surveillance theater, which is how the best spy fiction works.",analysis,
The series' handling of Conan's skateboard and soccer ball gadgets is worth examining as worldbuilding. Agasa modifies plausible-looking objects to function as tools. The constraint — everything must look like something a child would own — forces creative solutions that also happen to be consistent with Conan's cover identity. Constraint-driven design is good storytelling craft.,analysis,
"Ran's repeated near-discoveries of Conan's identity are not plot failures — they are emotional beats. Each near-discovery tightens the dramatic irony. The audience knows more than Ran, which creates a specific kind of tension that only works if you care about both characters. Gosho is calibrating how much tension the audience can bear without resolution.",analysis,
"The Kohji Haneda murder case is the best constructed cold case in the series because it requires understanding both the victim's personality and the killer's method before the motive becomes clear. Unlike most cold cases which are just older whodunnits, this one has a structural puzzle embedded inside the historical mystery.",analysis,
"Eisuke Hondo's arc is underrated because it shows the organization from the perspective of an outsider who is also an insider — his sister is Kir, meaning he is both a victim of the org and connected to it without knowing it. That position lets Gosho show the organization's reach into ordinary people's lives in a way the main cast cannot.",analysis,
"The series' length is not purely commercial. Gosho has said the ending requires the main BO conflict to resolve. That conflict requires Rum's identity, the Boss's identity, and the APTX cure to all converge. Each of those threads has its own setup requirements. The length is a function of the structural complexity of the ending Gosho has committed to delivering.",analysis,
The Decisive Moment arc where Conan confronts Pisco and Pisco is killed by Gin is structurally important because it establishes that the organization eliminates members the moment they become a liability. This is not a rumor or a threat — the audience sees it happen to a senior member in real time. It is the scene that makes the org genuinely frightening.,analysis,
"The pacing of the Rum reveal has been stretched across too many volumes to be accidental. Gosho is withholding it as the final major mystery anchor — once Rum is identified, the series enters its endgame. The delay is structural gatekeeping, not filler.",analysis,
Conan is a worse protagonist than Heiji and the series should have made the switch permanently.,hot_take,
The Black Organization would have won if Gin just did things himself instead of delegating.,hot_take,
Kaito Kid episodes are always more fun than the Black Organization episodes.,hot_take,
Ran is the most underwritten major character in any long-running manga.,hot_take,
The series should have ended at volume 50. Everything after is bonus content at this point.,hot_take,
Amuro is way more compelling than Akai and it's not even a competition.,hot_take,
The movies peaked with Captured in Her Eyes and have been declining ever since.,hot_take,
Heiji and Kazuha are a more interesting couple than Shinichi and Ran by every possible metric.,hot_take,
The anime filler arcs are completely skippable and you lose nothing important by jumping straight to canon.,hot_take,
Gosho is afraid to kill any character who matters and it makes the stakes feel fake.,hot_take,
Haibara is the actual main character of this series and Conan is just the vehicle.,hot_take,
The Rum suspects are all red herrings and Rum is going to turn out to be someone we never suspected.,hot_take,
The series has way too many characters at this point. Half of them could be cut and nothing would change.,hot_take,
Gin should have been the final boss all along. Making Karasuma the boss was a mistake.,hot_take,
The anime original movies are better written than most of the canon arcs in the manga.,hot_take,
Conan using Kogoro as a puppet every episode is the most ethically uncomfortable running gag in anime.,hot_take,
The series treats its female characters well compared to most shonen and people undersell this.,hot_take,
Vermouth is not redeemable and the show is fooling itself if it thinks she can be.,hot_take,
Every Sonoko episode is a wasted episode. Her only function is to put Conan in places he wouldn't otherwise be.,hot_take,
The English dub is actually good and the purist backlash against it is overblown.,hot_take,
Ran figuring out Conan is Shinichi and choosing not to say anything is the most likely explanation at this point.,hot_take,
The best version of this series ends with Shinichi staying as Conan because going back would change too much.,hot_take,
Genta adds nothing to the Detective Boys and every scene with him is a slower scene.,hot_take,
Wakita is definitely Rum. The sushi chef angle is too obviously suspicious to be a real red herring.,hot_take,
The series has never written a female villain as effectively as any of its male villains.,hot_take,
Shinichi and Heiji's rivalry is the emotional heart of the show and the romance plot is a distraction from it.,hot_take,
Conan would have been caught as Shinichi by now if literally anyone in this series paid close attention.,hot_take,
The Scarlet series arc is overrated. The twists rely on information being hidden from the audience unfairly.,hot_take,
"There is no satisfying ending possible for this series at this point. Too many threads, too little time.",hot_take,
The Detective Boys should have been phased out by volume 30. They belong in a completely different show.,hot_take,
Vermouth's immunity from the Boss is the biggest plot hole in the series and no explanation will satisfy me.,hot_take,
Yusaku Kudo being a better detective than Conan is quietly the funniest ongoing joke in the series.,hot_take,
The series peaked when it was a pure mystery show and adding all the spy thriller elements was a mistake.,hot_take,
Anyone who says the filler cases are bad has never actually watched the classic early episodes carefully.,hot_take,
THAT ENDING. I need to lie down. I need to lie down for a year.,reaction,
I started this series as a joke and now I have consumed 400 episodes and I have no regrets and also no sleep.,reaction,
The Scarlet series just destroyed me. I thought I knew what was going to happen and I was completely wrong.,reaction,
Just got to the Haibara backstory episode and I had to take a walk outside afterwards. That was heavy.,reaction,
Okay I watched the Vermouth reveal for the first time and I genuinely gasped out loud alone in my apartment.,reaction,
The episode where Conan is separated from everyone in the theme park and you think something awful is going to happen — my heart did not recover.,reaction,
I cannot believe this show made me cry over a filler case about a pastry chef. What is happening to me.,reaction,
"The way the Detective Boys were genuinely scared in that episode — I was scared too. Full immersion, did not expect it.",reaction,
Every time the Black Organization theme plays I feel a physical sense of dread now. It has been trained into me.,reaction,
Episode where Haibara almost gets caught and Conan has to act completely normal — I was dying. I physically could not sit still.,reaction,
Just rewatched the scene where Ran punches a bad guy while crying and I think about it constantly.,reaction,
Watching this show for the first time in 2024 and the Pisco episode just happened and I'm genuinely shaken.,reaction,
I've been in this fandom for five years and every new chapter drop still makes my whole week.,reaction,
The Ran-almost-drowning scene in the movie had me completely useless for the rest of the night.,reaction,
The subplot about Matsuda and Sato absolutely broke my heart and it was a filler arc. How.,reaction,
My friend recommended this series as a kids detective show. I just finished the Vermouth arc. I have to call them.,reaction,
That scene in the Desperate Revival where Shinichi has to leave again — I was shaking. Genuine shaking.,reaction,
Watching the series in order for the first time and the tonal shift when the BO stuff gets serious is JARRING in the best way.,reaction,
The volume 26 twist hit me out of nowhere and I just sat holding my phone for a few minutes.,reaction,
Every time the series cuts away right before Ran figures it out I make a sound that shouldn't come from a human.,reaction,
I thought I was just going to watch a few episodes. It is now 3am and I have to work tomorrow and I am not stopping.,reaction,
The Aoyama cameo episode where he pokes fun at his own series is one of the most delightful things I've watched all year.,reaction,
The chapter dropped today and I am completely unwell. Just putting that out there.,reaction,
Heiji showing up unexpectedly in that arc made me cheer out loud by myself like an idiot. Worth it.,reaction,
The cold open of the Scarlet Return arc is one of the most stressful things I have ever watched voluntarily.,reaction,
Just got to episode 162 for the first time and I now understand every cryptic thing this fandom has ever said.,reaction,
The Haibara smile moment after the Detective Boys cheer her up — I had to pause because I started smiling like an idiot.,reaction,
I did not expect a Detective Conan chapter to ruin my entire morning but here we are.,reaction,
That moment where Conan and Haibara just look at each other and don't say anything and everything is communicated — perfect scene.,reaction,
My heart literally skipped when Amuro and Akai were in the same space and both knew who the other was. The tension!,reaction,
Conan catching Ran before she falls in that episode and she still doesn't realize — I was yelling at my screen.,reaction,
The Black Organization suddenly appearing at the end of what felt like a normal filler case — I screamed. No warning.,reaction,
I finished the Raven Chaser movie and immediately needed to talk to someone about it but everyone was asleep.,reaction,
Just caught up to the current manga chapter after a month-long binge. The waiting is going to kill me.,reaction,
